date,net_exposure
2026-03-12,0.0
2026-03-25,-4.163336342344337e-17
2026-03-26,0.0
2026-03-27,6.938893903907228e-17
2026-03-30,-5.551115123125783e-17
2026-04-10,1.3877787807814457e-17
2026-04-13,5.551115123125783e-17
2026-04-14,0.0
2026-04-17,3.469446951953614e-17
2026-04-22,0.0
2026-04-23,-2.7755575615628914e-17
2026-04-30,-2.42861286636753e-17
2026-05-01,2.7755575615628914e-17
2026-05-13,-6.245004513516506e-17
2026-05-14,-6.245004513516506e-17
2026-05-15,-6.245004513516506e-17
2026-05-29,1.3877787807814457e-17
2026-06-01,-1.3877787807814457e-17
2026-06-02,0.0
2026-06-03,1.3877787807814457e-17
2026-06-04,0.0
2026-06-05,6.938893903907228e-18
2026-06-12,-2.42861286636753e-17
